"Code","Name","Latitude","Longitude","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tHAEMavg","tHAEMstd","YEAR","tCommBiomass","Reef Type","Depth"
"BZ-TAMR-04","1206-DFR",17.24799,-87.83336,348,495,4,8,0,0,0,0,11,28,"2021",363,NA,12.3
"BZ-TAMR-05","1206-BR",17.24913,-87.83865,3,6,0,0,151,478,0,0,576,1176,"2021",730,NA,1.2
"BZ-TAMR-06","1206-SFR",17.2486,-87.83705,101,205,2941,9207,3,6,0,0,274,354,"2021",3319,NA,9.5
"BZ-TAMR-07","WP5-DFR",17.54654,-87.82282,200,296,98,163,2,6,330,1043,52,63,"2021",682,NA,10.1
"BZ-TAMR-08","WP5-BR",17.54707,-87.82041,25,50,4,11,19,43,0,0,59,126,"2021",107,NA,2
"BZ-TAMR-09","WP5-SFR",17.54674,-87.82186,93,156,0,0,6,20,117,370,28,55,"2021",244,NA,6.7
"BZ-TAMR-10","MP-DFR",17.62112,-87.78891,60,105,38,66,0,0,0,0,191,245,"2021",289,NA,11.5
"BZ-TAMR-11","MP-SFR",17.62051,-87.78842,212,450,102,224,6,20,0,0,235,247,"2021",555,NA,7
"BZ-TAMR-12","CZ2-DFR",17.51001,-87.74921,217,687,528,1035,26,47,0,0,30,40,"2021",801,NA,15
"BZ-TAMR-13","1062-DFR",17.2603,-87.96102,424,814,318,503,109,221,0,0,140,144,"2021",991,NA,12.2
"BZ-TAMR-14","1062-SFR",17.25871,-87.95925,179,409,36,68,51,169,0,0,154,343,"2021",420,NA,5
"BZ-TAMR-15","1062-BR",17.25613,-87.95623,606,1049,19,40,726,2294,0,0,436,796,"2021",1787,NA,2.6
"BZ-TAMR-16","CB-SFR",17.15698,-87.90921,9,28,675,1965,140,357,0,0,167,378,"2021",991,NA,5.9
"BZ-TAMR-17","CB-BR",17.15853,-87.91022,795,1897,216,332,151,412,703,2223,9691,24321,"2021",11556,NA,3
"BZ-TAMR-18","SP-DFR",17.33406,-87.78709,221,506,0,0,2,6,0,0,122,218,"2021",345,NA,9.2
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,242,313,7,11,0,0,0,0,204,181,"2021",453,NA,2.3
"BZ1019","South Tip of Sapodillas",16.10412,-88.32987,997,1097,74,139,19,43,0,0,609,1065,"2018",1699,NA,3
"BZ1019","White Reef",16.1041,-88.3299,396.80979312307,469.99270620023,272.81143656941,199.60051587215,552.55504513696,390.715419395183,0,0,315.28818592714,343.24668208124,"2023",1537.46446075658,"Barrier",NA
"BZ1026","Coral Forest",16.1791,-88.34,339.62634910289,477.11488533828,133.49814790712,174.37022451384,564.32772233776,399.039959276589,0,0,284.68203850149,468.16707060272,"2023",1322.13425784926,"Barrier",NA
"BZ1032","Round Caye",16.4185,-88.0413,0,0,9,30,0,0,0,0,0,0,"2021",9,NA,6.4
"BZ1037","Carrie Caye",16.5175,-88.1935,191.67893607934,229.2726468788,38.530398827206,115.59119648162,248.74512768157,175.889366570752,0,0,1013.6863472596,1596.0985856488,"2023",1492.64080984772,"Lagoonal",NA
"BZ1037B","Carrie Caye",16.51861,-88.19308,17,37,0,0,21,45,0,0,114,260,"2021",152,NA,5.8
"BZ1041","Gladden Caye",16.558,-88.0507,60,174,0,0,91,265,0,0,37,68,"2018",188,NA,2.5
"BZ1041","Gladden Caye",16.558,-88.0507,1083.9684686449,1042.9418977882,0,0,352.43983861041,249.212599841713,0,0,686.07330982929,928.05582558124,"2023",2122.4816170846,"Barrier",NA
"BZ1041.","Gladden Caye",16.558,-88.0507,44,108,9,30,0,0,0,0,23,50,"2021",76,NA,3.7
"BZ1043","South Water Caye",16.6302,-88.2061,1294.1353877424,865.97178634972,63.726121285975,144.16555908964,60.948570982427,43.0971478453038,0,0,1468.9026492981,1223.6706780497,"2023",2887.7127293089,"Lagoonal",NA
