"Code","Name","Latitude","Longitude","tACANavg","tACANstd","tSCARavg","tSCARstd","YEAR","tHerbiBiomass","Reef Type","Depth"
"R20 SFR","LHRA",17.131,-87.6064,222.85280432661,307.05156773077,728.11015197049,636.98055069733,"2023",950.9629562971,"Atoll",NA
"R20 SFR","R20 SFR",17.13101,-87.60639,306,320,429,428,"2021",735,NA,6.1
"R21 BR","LHRA",17.1352,-87.6206,814.59532436552,1993.6870644377,377.81028869218,247.15724156571,"2023",1192.4056130577,"Atoll",NA
"R21 BR","R21 BR",17.13524,-87.62064,487,571,633,720,"2021",1120,NA,2.4
"R22","LHRA",17.4381,-87.534,302.47749693653,289.43313206437,650.76980517261,737.94509114416,"2023",953.24730210914,"Atoll",NA
"R23","LHRA",17.2066,-87.5307,273.39336554968,426.67733977168,633.84629833714,932.25351010977,"2023",907.23966388682,"Atoll",NA
"R24","LHRA",17.3147,-87.5345,190.52284669962,330.74315212675,1782.0219797628,667.76740530037,"2023",1972.54482646242,"Atoll",NA
"R4 DFR","R4 DFR",17.44595,-87.52826,295,238,760,722,"2021",1055,NA,10.4
"R6 DFR","R6 DFR",17.39226,-87.46236,171,181,793,831,"2021",964,NA,11.2
"R7 SFR","R7 SFR",17.39364,-87.46348,181,233,614,1457,"2021",795,NA,6.3
"R9 BR","LHRA",17.3165,-87.5302,351.03336780103,572.58205432358,3645.784141157,2236.2639165802,"2023",3996.81750895803,"Atoll",NA
"R9 BR","R9 BR",17.31648,-87.53019,704,1686,3728,3922,"2021",4432,NA,4.2
"Rainbow","Rainbow Reef",18.08934,-87.86808,322,219,576,377,"2018",898,NA,1
"RPN","Rocky Point North",18.11949,-87.82177,415,598,577,664,"2018",992,NA,12.7
"SP_DFR","Soldier Point",17.3341,-87.7871,234.64399422942,405.21057913456,713.51252802824,906.69468045601,"2023",948.15652225766,"Atoll",NA
"SP_DFR","SP_DFR",17.33406,-87.78709,157,214,1217,1153,"2018",1374,NA,10.7
"SP_SFR","SP_SFR",17.33352,-87.78812,841,561,1252,1455,"2018",2093,NA,7.6
"SWCCZFR1","SWCCZFR1",16.88466,-88.06055,720,1627,534,508,"2021",1254,NA,13.6
"SWCCZFR1","SWCCZFR1",16.8847,-88.0606,370.99744412052,439.66938530995,1231.4742211555,921.03762894923,"2023",1602.47166527602,"Barrier",NA
"SWCCZFR1","SWCCZFR1",16.88471,-88.0567,552,255,1998,1291,"2018",2550,NA,15.5
"SWCCZFR2","SWCCZFR2",16.8679,-88.0649,305.92540493702,252.33072941019,761.85905065641,611.02576375184,"2023",1067.78445559343,"Barrier",NA
"SWCCZFR2","SWCCZFR2",16.86792,-88.06493,181,153,767,734,"2021",948,NA,15.1
"SWCCZFR2","SWCCZFR2",16.86805,-88.06128,387,313,1811,1567,"2018",2198,NA,15.8
"SWCCZFR3","SWCCZFR3",16.84966,-88.06495,257,156,3336,2147,"2018",3593,NA,15.5
"SWCCZFR3","SWCCZFR3",16.8499,-88.0709,208.46396286539,162.90193306651,1241.2043630154,702.0634873837,"2023",1449.66832588079,"Barrier",NA
"SWCCZFR3","SWCCZFR3",16.84992,-88.07088,215,285,1988,2075,"2021",2203,NA,11.5
"SWCCZFR4","SWCCZFR4",16.83376,-88.06993,139,135,1135,851,"2018",1274,NA,15.5
"SWCCZFR4","SWCCZFR4",16.83489,-88.07456,45,54,618,861,"2021",663,NA,11.4
"SWCCZFR4","SWCCZFR4",16.8349,-88.0746,140.56772608612,94.02481280108,1579.2210670249,1061.297438823,"2023",1719.78879311102,"Barrier",NA
"SWCCZFR5","SWCCZFR5",16.81828,-88.07736,37,55,423,333,"2021",460,NA,12.3
"SWCCZFR5","SWCCZFR5",16.8183,-88.0774,233.54497658566,418.96798950507,625.23786211213,350.04147008798,"2023",858.78283869779,"Barrier",NA
"SWCCZFR6","SWCCZFR6",16.8059,-88.07394,389,229,2133,1662,"2018",2522,NA,15.2
"SWCCZFR6","SWCCZFR6",16.8131,-88.07774,800,1933,653,483,"2021",1453,NA,12.1
"SWCCZFR6","SWCCZFR6",16.8131,-88.0777,81.469382539396,85.634779616882,968.67990482957,512.65209829145,"2023",1050.14928736897,"Barrier",NA
"SWCGUZFR1","SWCGUZFR1",16.91365,-88.04752,406,180,2135,1589,"2018",2541,NA,15.5
"SWCGUZFR1","SWCGUZFR1",16.9142,-88.0499,280.67014150425,188.51506124448,786.84272863455,410.61366187325,"2023",1067.5128701388,"Barrier",NA
"SWCGUZFR1","SWCGUZFR1",16.91421,-88.04989,162,251,354,381,"2021",516,NA,12.8
"SWCGUZFR2","SWCGUZFR2",16.9036,-88.0542,275.1566859902,142.6019884775,826.67212754813,566.83268512122,"2023",1101.82881353833,"Barrier",NA
"SWCGUZFR2","SWCGUZFR2",16.90361,-88.05419,101,87,1271,1679,"2021",1372,NA,14.4
"SWCGUZFR2","SWCGUZFR2",16.90474,-88.05085,359,344,1771,1196,"2018",2130,NA,13.7
"SWCGUZFR3","SWCGUZFR3",16.78895,-88.07572,144,202,1770,2095,"2021",1914,NA,13
"SWCGUZFR3","SWCGUZFR3",16.789,-88.0757,494.78431340355,892.07663461217,1138.1648212076,744.55488983359,"2023",1632.94913461115,"Barrier",NA
"SWCGUZFR3","SWCGUZFR3",16.78907,-88.07335,258,194,2111,1013,"2018",2369,NA,14
"SWCGUZFR4","SWCGUZFR4",16.77758,-88.07501,61,83,383,315,"2021",444,NA,14.4
"SWCGUZFR4","SWCGUZFR4",16.7776,-88.075,188.02548969338,188.95703700554,849.28041917434,627.21744064026,"2023",1037.30590886772,"Barrier",NA
"SWCGUZFR4","SWCGUZFR4",16.77826,-88.07259,487,181,1344,1098,"2018",1831,NA,14.9
"SWCGUZFR5","SWCGUZFR5",16.76353,-88.07192,187,169,3355,1992,"2018",3542,NA,13.7
"SWCGUZFR5","SWCGUZFR5",16.76858,-88.07501,45,44,940,1124,"2021",985,NA,10.3
"SWCGUZFR5","SWCGUZFR5",16.7686,-88.075,194.72369288179,151.41238055876,358.92652798092,353.02811384929,"2023",553.65022086271,"Barrier",NA
"SWCGUZFR6","SWCGUZFR6",16.75225,-88.07146,350,223,4543,2143,"2018",4893,NA,11.9
"SWCGUZFR6","SWCGUZFR6",16.76079,-88.07356,1793,5549,424,503,"2021",2217,NA,11.4
"SWCGUZFR6","SWCGUZFR6",16.7608,-88.0736,121.07147043594,125.9831461097,297.69123183701,216.86632446434,"2023",418.76270227295,"Barrier",NA
"Tarpon","Tarpon Patch",18.17413,-87.83186,153,260,112,228,"2018",265,NA,1
"The Anchor","The Anchor",18.0974,-87.85613,631,1055,1027,1037,"2018",1658,NA,12.9
"WFR4",NA,16.81538,-87.85217,414,352,3310,3680,"2018",3724,NA,8.9
"WFR6",NA,16.83796,-87.84392,5605,9707,3145,2603,"2018",8750,NA,8.1
"WP3","Way Point 3",17.4481,-88.0584,63.692436326902,70.694861642107,199.15439235644,308.37327535254,"2023",262.846828683342,"Barrier",NA
"WP4_BR","West Point 4",17.3866,-87.9358,375.05585769203,304.16211057387,233.07365243583,220.04470243031,"2023",608.12951012786,"Atoll",NA
"WP4_BR","WP4_BR",17.38659,-87.93578,92,102,1270,864,"2018",1362,NA,7.6
"WP4_DFR","West Point 4",17.3835,-87.9397,656.31189234294,1169.6094826851,2472.0841288931,3093.2011102685,"2023",3128.39602123604,"Atoll",NA
"WP4_DFR","WP4_DFR",17.38347,-87.93974,434,628,1420,1453,"2018",1854,NA,10.7
"WP4_SFR","West Point 4",17.3836,-87.9382,186.44419148035,323.15460468989,451.86079011721,315.7742493312,"2023",638.30498159756,"Atoll",NA
"WP4_SFR","WP4_SFR",17.38359,-87.93821,417,126,2061,1426,"2018",2478,NA,7.6
"WP5_DFR","West Point 5",17.5465,-87.8228,358.34502891629,192.54432966781,2285.2743619454,3200.092066976,"2023",2643.61939086169,"Atoll",NA
"WP5_DFR","WP5_DFR",17.54603,-87.82514,510,753,1037,639,"2018",1547,NA,10.7
"WP5_SFR","West Point 5",17.5467,-87.8219,539.88465112524,394.93933632282,1153.420881987,807.14715137506,"2023",1693.30553311224,"Atoll",NA
"WP5_SFR","WP5_SFR",17.54716,-87.82292,328,347,1606,1435,"2018",1934,NA,7.6
"WQ4","WQ4",17.43809,-87.534,430,532,2400,1735,"2021",2830,NA,2
NA,"BZ1081",18.1755,-87.828,251.64619173576,296.17767536708,672.41752905163,1254.281780135,"2023",924.06372078739,"Barrier",NA
NA,"BZ1234",18.1807,-87.8284,3811.4221074364,10508.827805696,309.86807957488,586.508663139,"2023",4121.29018701128,"Barrier",NA
NA,"CBSFR",17.157,-87.9092,255.14069534938,317.80211625869,566.06475684207,612.41998604526,"2023",821.20545219145,"Atoll",NA
NA,"CZ2_SFR",17.5101,-87.7499,1178.8924815526,788.53325661728,3247.2379302166,2795.8973163545,"2023",4426.1304117692,"Atoll",NA
NA,"Pompion",16.3731,-88.0892,634.8626419823,1122.1010101751,1579.1866003535,977.80958228495,"2023",2214.0492423358,"Barrier",NA
NA,"Ranguana",16.331,-88.1497,843.19892640033,2186.4621656598,2433.4846118599,2887.8294824738,"2023",3276.68353826023,"Bank",NA
NA,"SP_SFR",17.3344,-87.7877,311.71217334633,280.62547524443,1085.0866428868,1899.0981794448,"2023",1396.79881623313,"Atoll",NA
