"predictor","mean","sd","q025","q500","q975","sig"
"Intercept",10.2172554490579,3.59970551258547,1.56471896709104,10.5635967571855,16.5049802270814,"*"
"Depth",-0.0781181778331967,0.468876638592261,-1.01409839866988,-0.0716449254082325,0.829713946439418,""
"Depth²",0.320198932559824,0.44913314925274,-0.473527619262999,0.304278246557528,1.21056876913213,""
"Slope",-0.142326657011249,0.390935042000629,-0.996114316830921,-0.1126333975847,0.520374368131687,""
"Aspect (N-S)",0.0717657663266712,0.740319286188586,-1.37950972344267,0.075013332223621,1.43151645206116,""
"Aspect (E-W)",-0.0601223267872978,0.365678896557719,-0.727965336380924,-0.0568297315839436,0.663825171638076,""
"Terrain roughness",-0.215323274064696,0.422761326097811,-1.10212773018938,-0.19858364748068,0.565601908414255,""
