"Name","Latitude","Longitude","Reef.Type","tCommBiomass_avg","tHerbiBiomass_avg","tCORALavg_avg","tFMAavg_avg"
"Gallows",17.4496,-88.0324,NA,477,3836,46.17,0
"Gallows Flat",17.4496,-88.0324,NA,2835,4432,12.5,23.17
"Gladden Caye",16.558,-88.0507,"Barrier",2122.4816170846,3853.7428891384,14.833333,3.833333
"Gladden Caye",16.558,-88.0507,NA,132,1531,14.17,10.875
"Gladden Spit",16.45231,-88.04171,NA,338,1173,35,10
"Glover's NW",16.8856,-87.8102,NA,825,1170,25.17,16.17
"Glover's North Inner Patch",16.8864,-87.7801,"Atoll",1800.60636741457,1832.13572259494,17.833333,43.166667
"Glover's North Inner Patch",16.88644,-87.78005,NA,46,41,12.83,29.67
"Glover's North inner patch",16.88644,-87.78005,NA,300,300,13.33,22
"Glover's Northeast",16.88532,-87.70304,NA,100,958,32.17,10.67
"Glover's Reef Northeast",16.8853,-87.703,"Atoll",658.0081120158,4711.10285247744,26.333333,10.333333
"Glover's Reef Northeast",16.88532,-87.70304,NA,164,399,21.5,14.83
"Glover's Reef Northwest",16.8856,-87.8102,NA,330,646,28.33,4.5
"Glover's Reef Northwest(east)",16.8856,-87.8102,"Atoll",1784.19160193026,5462.29520993653,33.166667,5.25
"Glover's Southwest",16.72,-87.8387,NA,1016,969,28.5,23.5
"Glovers Reef",16.7841,-87.75241,NA,1073,1484,27.83,19.83
"Glovers Reef Southwest",16.72,-87.8387,NA,346,440,28.17,17.17
"Glovers Reef, Glovers Reef",16.7841,-87.7524,"Atoll",750.273161212979,2564.23446687115,31.666667,30.416667
"Glover’s Reef",16.7705,-87.8716,"Atoll",1886.65024655306,8389.00152331209,27.666667,2.916667
"Glover’s Reef Southwest",16.72,-87.8387,"Atoll",1788.54486365025,3555.35986380059,27.333333,9.75
"Goff's Caye",17.3521,-88.0385,"Barrier",525.504116281039,3162.19653023467,33.5,6
"Hol Chan",17.85897,-87.97327,NA,682,640,22.83,42.67
"LHRA",17.1242,-87.6208,"Atoll",639.944789187806,494.47187546888,5.285714,48.928571
"LHRA",17.131,-87.6064,"Atoll",832.865699500499,950.9629562971,11.5,5.5
"LHRA",17.1352,-87.6206,"Atoll",182.488016900829,1192.4056130577,6.25,35.875
"LHRA",17.1862,-87.6121,"Atoll",704.672816268133,1189.74926888761,23.25,7.375
"LHRA",17.2032,-87.5422,"Atoll",18650.729598983,1166.49940953315,13.875,26.4375
"LHRA",17.2032,-87.5249,"Atoll",1262.75252633447,416.04653449028,5.75,11
"LHRA",17.2034,-87.5281,"Atoll",169.722777888231,907.01638369174,5.375,0.75
"LHRA",17.2066,-87.5307,"Atoll",3729.79373821229,907.23966388682,9.125,8.75
"LHRA",17.2237,-87.5638,"Atoll",10869.5235554714,1113.40712795806,12.5,28.0625
"LHRA",17.2243,-87.6046,"Atoll",133.049026614889,479.99564729943,10.75,5.5
"LHRA",17.226,-87.6015,"Atoll",151.373641823547,392.43780771104,20.571429,25.428571
"LHRA",17.2574,-87.572,"Atoll",101.774545168334,327.57636427428,11.5,7.5
"LHRA",17.3097,-87.5836,"Atoll",3117.41331270834,729.50023257921,16.75,15.5
"LHRA",17.3147,-87.5345,"Atoll",3021.72319194896,1972.54482646242,14,32.75
"LHRA",17.3165,-87.5302,"Atoll",1758.60403169968,3996.81750895803,10.375,18.4375
"LHRA",17.3837,-87.5184,"Atoll",1886.47731159103,129.058079915479,3.875,65.8125
"LHRA",17.3923,-87.4624,"Atoll",1004.25436387434,729.30902937833,8,15.0625
"LHRA",17.3936,-87.4635,"Atoll",150.014102585868,540.10984070831,17.25,1
"LHRA",17.4381,-87.534,"Atoll",161.337782628223,953.24730210914,3.875,4.875
"LHRA",17.4432,-87.5293,"Atoll",1538.88028975745,1786.32918802132,15.5,19.3125
"LHRA",17.4459,-87.5283,"Atoll",806.374193025563,2047.05772001842,9.75,28.6875
"LHRA",17.4618,-87.4986,"Atoll",192.791427625578,12196.4723755005,8,20.25
"LHRA",17.4719,-87.4873,"Atoll",213.228566168097,2688.13196127939,4,34
"LHRA",17.4735,-87.4864,"Atoll",1366.57188536026,1182.54522481184,5.25,36.5
"Last Resort",18.16356,-87.83042,NA,985,523,NA,NA
"Laughing Bird 1",16.42794,-88.20604,NA,585,1030,9.33,9.67
"Laughing Bird 2",16.44383,-88.19778,NA,1683,863,7.67,26.67
"Laughing Bird Caye 1",16.4279,-88.206,"Lagoonal",471.946914021404,2832.37988996275,6.833333,13.583333
"Laughing Bird Caye 2",16.4438,-88.1978,"Lagoonal",1671.1814920029,5764.55996963725,7.333333,8.416667
"Lighthouse",17.129,-87.615,NA,251,420,20.83,8.33
"Lighthouse",17.2574,-87.572,NA,904,2594,21.33,5
"Lighthouse",17.3097,-87.584,NA,3389,2891,26.33,6.17
"Lighthouse",17.3513,-87.482,NA,1758,1905,16.17,20.42
"MP-DFR",17.62112,-87.78891,NA,289,1922,12.17,25.5
"MP-SFR",17.62051,-87.78842,NA,555,2669,21.33,21
"MP_DFR",17.62305,-87.79146,NA,672,1702,NA,NA
"MP_SFR",17.62194,-87.78979,NA,320,2178,NA,NA
"Mackerel Hole",17.7704,-87.9914,"Barrier",1799.71011328845,4124.9229276485,4.083333,18.5
"Mackerel Hole",17.77042,-87.99141,NA,781,2654,11.17,26.83
"Mauger Point",17.6205,-87.7884,"Atoll",3035.05256838114,5174.19346653119,26.666667,23.75
"Mauger Point",17.6211,-87.7889,"Atoll",2407.47620173586,4278.03383191151,13.666667,14.916667
"Mexico Rocks",17.99067,-87.90297,NA,180,473,20.17,29.17
"Mexico Rocks",17.9907,-87.903,"Barrier",149.026633562111,1246.73183004014,9.166667,40.416667
"Middle Snake Caye",16.20152,-88.55112,NA,6583,14476,NA,NA
"Middle Snake Caye",16.20153,-88.55112,NA,1435,823,15.33,10.17
"NA,NA",16.4563,-88.2097,"Lagoonal",1240.17571398554,2084.95382531955,5.166667,7.583333
"NE Range",16.6584,-88.0956,"Bank",1001.66150389516,1408.90486706883,6.916667,27.416667
"Near Wee Wee Caye",16.75744,-88.14417,NA,1283,3248,11.33,0.5
"Nicholas Caye",16.1123,-88.256,"Barrier",4883.95975126749,2841.81341792696,21,16.166667
"North Gallows",17.4882,-88.04193,NA,540,3213,30.5,4
"North of Alleys",18.17546,-87.828,NA,666,1565,13.08,34.08
"North of Caye Caulker MR",17.79961,-87.99541,NA,325,464,38.17,14.33
"North of Caye Caulker Marine Reserve",17.7996,-87.9954,"Barrier",668.502365741902,2149.84498531956,8.333333,16
"North of Caye Caulker Marine Reserve",17.79961,-87.99541,NA,2934,2165,24.33,13.67
"North of Hol Chan MR",17.8817,-87.96947,NA,990,797,9.915,23.915
"North of Hol Chan Marine Reserve",17.8817,-87.9695,"Barrier",3768.32687984275,414.91242894562,5.333333,21.583333
"North of Mexico Rocks",18.186,-87.83305,NA,8917.5,668.5,13.085,13
"North of Middle Caye",16.75118,-87.8214,NA,839,2957,6.17,40.67
"North of Middle Caye",16.75118,-87.82139,NA,1054,239,15.5,30.92
"North of Middle Caye",16.7512,-87.8214,"Atoll",3752.21604634253,6766.78075820973,15.333333,25.416667
"Nothing Special",16.1548,-88.3299,"Barrier",597.373866206565,3293.5459946559,12.833333,15
