"species","predictor","mean","sd","q025","q500","q975","sig"
"Coral cover","Intercept",15.8508925375086,0.685177687521729,14.45851956643,15.8594648130848,17.1440059775125,"*"
"Coral cover","Depth",16.428106855458,1.02811228901012,14.3872378044363,16.4526823907383,18.4081547532356,"*"
"Coral cover","Depth²",6.19400050722482,0.118445693516953,5.96368702768906,6.19747332136592,6.42816095012656,"*"
"Coral cover","Slope",7.41575363217234,0.0912751468115223,7.23634873982003,7.41472072441717,7.59762779456818,"*"
"Coral cover","Aspect (N-S)",0.0569342474509274,0.552352419946688,-1.00871178152213,0.0283399699234334,1.25285379629222,""
"Coral cover","Aspect (E-W)",-0.346863971090633,0.62628282750313,-1.85571470064167,-0.263415589344465,0.760506189160018,""
"Coral cover","Terrain roughness",0.00330275595625972,0.130691750388944,-0.25602892295358,0.00290320338460176,0.266388092434791,""
"Macroalgae cover","Intercept",-0.0873635965754339,0.101590986355453,-0.285207677103638,-0.0871806220987649,0.111435927528201,""
"Macroalgae cover","Depth",0.85288077550729,0.3171309129908,0.251118762209923,0.839244510644604,1.49662479171132,"*"
"Macroalgae cover","Depth²",0.450739107344286,0.364858475357491,-0.247983239789611,0.438931104291935,1.18579389858163,""
"Macroalgae cover","Slope",-0.00961459648726664,0.0587054306605091,-0.12524463931136,-0.00820183520133044,0.102741600787221,""
"Macroalgae cover","Aspect (N-S)",-0.0267067547456254,0.0448038291940559,-0.113706674226516,-0.0267097313231346,0.0611814796388009,""
"Macroalgae cover","Aspect (E-W)",0.00704807723145227,0.429318189204731,-0.833030139588987,-0.0071468426649761,0.916843747547723,""
"Macroalgae cover","Terrain roughness",-0.481290252847448,0.573772321900365,-1.81833850195535,-0.393021138466379,0.450014690056319,""
"Commercial fish (log)","Intercept",-0.0267420175395686,0.0925604179795571,-0.210974700711978,-0.0239965831214297,0.146069151343246,""
"Commercial fish (log)","Depth",-0.0117523088862776,0.0716665020747977,-0.157436925093924,-0.0109344752436364,0.128444568941532,""
"Commercial fish (log)","Depth²",1.03303287036313,0.664025883587599,-0.124336230233665,1.00117350476703,2.4240492302979,""
"Commercial fish (log)","Slope",-0.663635098621599,0.728772947379262,-2.25675149468955,-0.568503559032252,0.54048841743964,""
"Commercial fish (log)","Aspect (N-S)",-0.0411052083228664,0.0831307430558869,-0.202110870066396,-0.0384733074793958,0.120495257528108,""
"Commercial fish (log)","Aspect (E-W)",-0.0115255578127665,0.0650249136013202,-0.141947131872874,-0.0121107035446092,0.113510114370974,""
"Commercial fish (log)","Terrain roughness",0.0475529431547163,0.41978415971555,-0.734487893496957,0.0209861966574471,0.948076302996738,""
"Herbivorous fish (log)","Intercept",-0.197181885726694,0.460716784187707,-1.21862285265878,-0.165674714322545,0.665675141327238,""
"Herbivorous fish (log)","Depth",-0.0943243339303958,0.0817973653675763,-0.255210100890556,-0.0957171926668403,0.0699172278139224,""
"Herbivorous fish (log)","Depth²",-0.0237292497667481,0.0636117738737072,-0.150749092065618,-0.0229055571056424,0.0995779862512172,""
"Herbivorous fish (log)","Slope",-0.0792712624257928,0.42701376812993,-0.914527540798154,-0.095664509995693,0.83374825910292,""
"Herbivorous fish (log)","Aspect (N-S)",-0.549847936762232,0.570088437436077,-1.87324341037866,-0.473947530696759,0.368778923056484,""
"Herbivorous fish (log)","Aspect (E-W)",-0.228605826054642,0.083879657079974,-0.394779963896118,-0.226514791191164,-0.0642823257846506,"*"
"Herbivorous fish (log)","Terrain roughness",0.00304668238582463,0.0637887696253564,-0.123185015107718,0.00356421401182931,0.125818131954211,""
